file_name,classes,xmin,ymin,xmax,ymax
20211109LUNGTIP_YI_cerana_807.JPG,guava_guava_flower,0.219401042,0.475115741,0.517795139,0.848958333
20211109LUNGTIP_YI_cerana_807.JPG,apis_cerana,0.259548611,0.518229167,0.326605903,0.631944444
20211109LUNGTIP_YI_cerana_806.JPG,guava_flower,0.222005208,0.468460648,0.517795139,0.883391204
20211109LUNGTIP_YI_cerana_806.JPG,apis_cerana,0.329210069,0.399305556,0.400390625,0.530381944
20211109LUNGTIP_YI_cerana_811.JPG,guava_flower,0.218098958,0.476851852,0.517795139,0.888599537
20211109LUNGTIP_YI_cerana_811.JPG,apis_cerana,0.189887153,0.564814815,0.295789931,0.70775463
20211109LUNGTIP_YI_cerana_765.JPG,guava_flower,0.219401042,0.464988426,0.511501736,0.881655093
20211109LUNGTIP_YI_cerana_765.JPG,apis_cerana,0.188585069,0.545717593,0.282769097,0.666377315
20211109LUNGTIP_YI_cerana_782.JPG,guava_flower,0.219401042,0.470196759,0.520399306,0.890335648
20211109LUNGTIP_YI_cerana_782.JPG,apis_cerana,0.30078125,0.471643519,0.353732639,0.550925926
20220105PAPRAYARD1_YI2_amegilla_868.JPG,guava_flower,0.381076389,0.478009259,0.658854167,0.841145833
20220105PAPRAYARD1_YI2_amegilla_868.JPG,amegilla,0.260199653,0.380787037,0.349175347,0.471064815
20220105PAPRAYARD1_YI2_amegilla_868.JPG,guava_flower,0.215060764,0.297453704,0.415581597,0.54369213
20211109LUNGTIP_YI_cerana_792.JPG,guava_flower,0.219401042,0.471643519,0.516493056,0.890335648
20211109LUNGTIP_YI_cerana_792.JPG,apis_cerana,0.298394097,0.671585648,0.407986111,0.788773148
20211109LUNGTIP_YI_cerana_796.JPG,guava_flower,0.223307292,0.468460648,0.516493056,0.886863426
20211109LUNGTIP_YI_cerana_796.JPG,apis_cerana,0.311197917,0.597511574,0.421006944,0.733506944
20211109LUNGTIP_YI_cerana_786.JPG,guava_flower,0.223307292,0.47337963,0.519097222,0.890335648
20211109LUNGTIP_YI_cerana_786.JPG,apis_cerana,0.229817708,0.550925926,0.30078125,0.676793981
20211109LUNGTIP_YI_cerana_804.JPG,guava_flower,0.227213542,0.468460648,0.523003472,0.885127315
20211109LUNGTIP_YI_cerana_804.JPG,apis_cerana,0.335720486,0.652488426,0.467447917,0.783564815
20211109LUNGTIP_YI_cerana_802.JPG,guava_flower,0.231119792,0.471643519,0.530815972,0.89380787
20211109LUNGTIP_YI_cerana_802.JPG,apis_cerana,0.327907986,0.588831019,0.431423611,0.72337963
20211109LUNGTIP_YI_cerana_815.JPG,guava_flower,0.219401042,0.476851852,0.519097222,0.890335648
20211109LUNGTIP_YI_cerana_815.JPG,apis_cerana,0.351345486,0.532118056,0.434027778,0.654224537
20211109LUNGTIP_YI_cerana_790.JPG,guava_flower,0.218098958,0.470196759,0.514105903,0.888599537
20211109LUNGTIP_YI_cerana_790.JPG,apis_cerana,0.347439236,0.735243056,0.413194444,0.845486111
20211109LUNGTIP_YI_cerana_774.JPG,guava_flower,0.228515625,0.47337963,0.524305556,0.89380787
20211109LUNGTIP_YI_cerana_774.JPG,apis_cerana,0.374565972,0.516493056,0.430121528,0.683738426
20211201PAPRAYARD_YI5_p_049.JPG,guava_flower,0.483723958,0.346064815,0.585069444,0.470196759
20211201PAPRAYARD_YI5_p_049.JPG,fromicidae,0.541449653,0.363136574,0.553385417,0.381076389
20211109LUNGTIP_YI_cerana_783.JPG,guava_flower,0.219401042,0.468460648,0.519097222,0.890335648
20211109LUNGTIP_YI_cerana_783.JPG,apis_cerana,0.249131944,0.454571759,0.3203125,0.550925926
20211109LUNGTIP_YI_cerana_787.JPG,guava_flower,0.220703125,0.470196759,0.517795139,0.89380787
20211109LUNGTIP_YI_cerana_787.JPG,apis_cerana,0.220703125,0.621527778,0.31640625,0.721643519
20211109LUNGTIP_YI_cerana_779.JPG,guava_flower,0.225911458,0.468460648,0.520399306,0.845486111
